Sat Sep 28 09:28:58 UTC 2024


Запуск с 2 процессами:
Пересборка и запуск сервиса: mpi-app-1
mpi_2  | OUTPUT: Результат умножения матрицы на вектор:
mpi_2  | OUTPUT: C[0] = 89440.000000
mpi_2  | OUTPUT: C[1] = 222560.000000
mpi_2  | OUTPUT: C[2] = 355680.000000
mpi_2  | OUTPUT: C[3] = 488800.000000
mpi_2  | OUTPUT: C[4] = 621920.000000
mpi_2  | OUTPUT: C[5] = 755040.000000
mpi_2  | OUTPUT: C[6] = 888160.000000
mpi_2  | OUTPUT: C[7] = 1021280.000000
mpi_2  | OUTPUT: C[8] = 1154400.000000
mpi_2  | OUTPUT: C[9] = 1287520.000000
mpi_2  | OUTPUT: C[10] = 1420640.000000
mpi_2  | OUTPUT: C[11] = 1553760.000000
mpi_2  | OUTPUT: C[12] = 1686880.000000
mpi_2  | OUTPUT: C[13] = 1820000.000000
mpi_2  | OUTPUT: C[14] = 1953120.000000
mpi_2  | OUTPUT: C[15] = 2086240.000000
mpi_2  | OUTPUT: C[16] = 2219360.000000
mpi_2  | OUTPUT: C[17] = 2352480.000000
mpi_2  | OUTPUT: C[18] = 2485600.000000
mpi_2  | OUTPUT: C[19] = 2618720.000000
mpi_2  | OUTPUT: C[20] = 2751840.000000
mpi_2  | OUTPUT: C[21] = 2884960.000000
mpi_2  | OUTPUT: C[22] = 3018080.000000
mpi_2  | OUTPUT: C[23] = 3151200.000000
mpi_2  | OUTPUT: C[24] = 3284320.000000
mpi_2  | OUTPUT: C[25] = 3417440.000000
mpi_2  | OUTPUT: C[26] = 3550560.000000
mpi_2  | OUTPUT: C[27] = 3683680.000000
mpi_2  | OUTPUT: C[28] = 3816800.000000
mpi_2  | OUTPUT: C[29] = 3949920.000000
mpi_2  | OUTPUT: C[30] = 4083040.000000
mpi_2  | OUTPUT: C[31] = 4216160.000000
mpi_2  | OUTPUT: C[32] = 4349280.000000
mpi_2  | OUTPUT: C[33] = 4482400.000000
mpi_2  | OUTPUT: C[34] = 4615520.000000
mpi_2  | OUTPUT: C[35] = 4748640.000000
mpi_2  | OUTPUT: C[36] = 4881760.000000
mpi_2  | OUTPUT: C[37] = 5014880.000000
mpi_2  | OUTPUT: C[38] = 5148000.000000
mpi_2  | OUTPUT: C[39] = 5281120.000000
mpi_2  | OUTPUT: C[40] = 5414240.000000
mpi_2  | OUTPUT: C[41] = 5547360.000000
mpi_2  | OUTPUT: C[42] = 5680480.000000
mpi_2  | OUTPUT: C[43] = 5813600.000000
mpi_2  | OUTPUT: C[44] = 5946720.000000
mpi_2  | OUTPUT: C[45] = 6079840.000000
mpi_2  | OUTPUT: C[46] = 6212960.000000
mpi_2  | OUTPUT: C[47] = 6346080.000000
mpi_2  | OUTPUT: C[48] = 6479200.000000
mpi_2  | OUTPUT: C[49] = 6612320.000000
mpi_2  | OUTPUT: C[50] = 6745440.000000
mpi_2  | OUTPUT: C[51] = 6878560.000000
mpi_2  | OUTPUT: C[52] = 7011680.000000
mpi_2  | OUTPUT: C[53] = 7144800.000000
mpi_2  | OUTPUT: C[54] = 7277920.000000
mpi_2  | OUTPUT: C[55] = 7411040.000000
mpi_2  | OUTPUT: C[56] = 7544160.000000
mpi_2  | OUTPUT: C[57] = 7677280.000000
mpi_2  | OUTPUT: C[58] = 7810400.000000
mpi_2  | OUTPUT: C[59] = 7943520.000000
mpi_2  | OUTPUT: C[60] = 8076640.000000
mpi_2  | OUTPUT: C[61] = 8209760.000000
mpi_2  | OUTPUT: C[62] = 8342880.000000
mpi_2  | OUTPUT: C[63] = 8476000.000000


Запуск с 4 процессами:
Пересборка и запуск сервиса: mpi-app-2
mpi_4  | OUTPUT: Результат умножения матрицы на вектор:
mpi_4  | OUTPUT: C[0] = 89440.000000
mpi_4  | OUTPUT: C[1] = 222560.000000
mpi_4  | OUTPUT: C[2] = 355680.000000
mpi_4  | OUTPUT: C[3] = 488800.000000
mpi_4  | OUTPUT: C[4] = 621920.000000
mpi_4  | OUTPUT: C[5] = 755040.000000
mpi_4  | OUTPUT: C[6] = 888160.000000
mpi_4  | OUTPUT: C[7] = 1021280.000000
mpi_4  | OUTPUT: C[8] = 1154400.000000
mpi_4  | OUTPUT: C[9] = 1287520.000000
mpi_4  | OUTPUT: C[10] = 1420640.000000
mpi_4  | OUTPUT: C[11] = 1553760.000000
mpi_4  | OUTPUT: C[12] = 1686880.000000
mpi_4  | OUTPUT: C[13] = 1820000.000000
mpi_4  | OUTPUT: C[14] = 1953120.000000
mpi_4  | OUTPUT: C[15] = 2086240.000000
mpi_4  | OUTPUT: C[16] = 2219360.000000
mpi_4  | OUTPUT: C[17] = 2352480.000000
mpi_4  | OUTPUT: C[18] = 2485600.000000
mpi_4  | OUTPUT: C[19] = 2618720.000000
mpi_4  | OUTPUT: C[20] = 2751840.000000
mpi_4  | OUTPUT: C[21] = 2884960.000000
mpi_4  | OUTPUT: C[22] = 3018080.000000
mpi_4  | OUTPUT: C[23] = 3151200.000000
mpi_4  | OUTPUT: C[24] = 3284320.000000
mpi_4  | OUTPUT: C[25] = 3417440.000000
mpi_4  | OUTPUT: C[26] = 3550560.000000
mpi_4  | OUTPUT: C[27] = 3683680.000000
mpi_4  | OUTPUT: C[28] = 3816800.000000
mpi_4  | OUTPUT: C[29] = 3949920.000000
mpi_4  | OUTPUT: C[30] = 4083040.000000
mpi_4  | OUTPUT: C[31] = 4216160.000000
mpi_4  | OUTPUT: C[32] = 4349280.000000
mpi_4  | OUTPUT: C[33] = 4482400.000000
mpi_4  | OUTPUT: C[34] = 4615520.000000
mpi_4  | OUTPUT: C[35] = 4748640.000000
mpi_4  | OUTPUT: C[36] = 4881760.000000
mpi_4  | OUTPUT: C[37] = 5014880.000000
mpi_4  | OUTPUT: C[38] = 5148000.000000
mpi_4  | OUTPUT: C[39] = 5281120.000000
mpi_4  | OUTPUT: C[40] = 5414240.000000
mpi_4  | OUTPUT: C[41] = 5547360.000000
mpi_4  | OUTPUT: C[42] = 5680480.000000
mpi_4  | OUTPUT: C[43] = 5813600.000000
mpi_4  | OUTPUT: C[44] = 5946720.000000
mpi_4  | OUTPUT: C[45] = 6079840.000000
mpi_4  | OUTPUT: C[46] = 6212960.000000
mpi_4  | OUTPUT: C[47] = 6346080.000000
mpi_4  | OUTPUT: C[48] = 6479200.000000
mpi_4  | OUTPUT: C[49] = 6612320.000000
mpi_4  | OUTPUT: C[50] = 6745440.000000
mpi_4  | OUTPUT: C[51] = 6878560.000000
mpi_4  | OUTPUT: C[52] = 7011680.000000
mpi_4  | OUTPUT: C[53] = 7144800.000000
mpi_4  | OUTPUT: C[54] = 7277920.000000
mpi_4  | OUTPUT: C[55] = 7411040.000000
mpi_4  | OUTPUT: C[56] = 7544160.000000
mpi_4  | OUTPUT: C[57] = 7677280.000000
mpi_4  | OUTPUT: C[58] = 7810400.000000
mpi_4  | OUTPUT: C[59] = 7943520.000000
